XCoord,YCoord,OBJECTID,XCOORD,YCOORD,OBJECTID_1,POINT_X,POINT_Y,AGE,COMPLEX,COMDIST,SUBWAY,MAJROAD,AGEAVE,POPDEN,BLSPOPF,FIRENO,CAR2012R,TAX,AREA,PRICE,FLOOR1,UNITPRI
960751.2566,1947298.693,1587,960751.2566,1947298.693,1587,960751.2566,1947298.693,1.278754,0,2.118607,2.626894,1.915951,1.592177,4.128882,0.005008,28,0.414545,5.267871,2.227758,4.954243,1,2.726485
960829.1704,1963013.495,1588,960829.1704,1963013.495,1588,960829.1704,1963013.495,1.431364,1.20412,2.825288,2.10616,2.153095,1.55145,4.592343,0.00393,4,0.241996,3.769599,1.731171,4.330219,0,2.599048
960775.2615,1949727.588,1589,960775.2615,1949727.588,1589,960775.2615,1949727.588,1.079181,0.90309,3.085314,2.165119,2.148605,1.619093,4.081774,0.010134,24,0.506997,4.69414,1.934205,4.706709,0,2.772504
960858.2798,1963986.537,1590,960858.2798,1963986.537,1590,960858.2798,1963986.537,1.041393,0.477121,3.050833,2.40579,1.869123,1.607455,3.887513,0.018328,16,0.269043,4.354857,2.059753,4.633468,0,2.573715
960903.4175,1964768.547,1591,960903.4175,1964768.547,1591,960903.4175,1964768.547,1.176091,1.146128,3.260883,2.563075,2.021067,1.607455,3.887513,0.018328,16,0.269043,4.354857,2.060396,4.667453,0,2.607057
960918.8542,1963698.622,1592,960918.8542,1963698.622,1592,960918.8542,1963698.622,1.176091,0.845098,2.982916,2.739383,1.87975,1.607455,3.887513,0.018328,16,0.269043,4.354857,1.929112,4.537819,0,2.608707
960919.1759,1962448.748,1593,960919.1759,1962448.748,1593,960919.1759,1962448.748,1.414973,0.778151,2.934829,2.542699,1.847388,1.586587,4.399219,0.008774,3,0.240042,3.87691,2.066776,4.687071,0,2.620295
960938.2731,1964510.855,1594,960938.2731,1964510.855,1594,960938.2731,1964510.855,1.146128,1.113943,3.206183,2.217531,2.148008,1.607455,3.887513,0.018328,16,0.269043,4.354857,1.928549,4.628389,0,2.69984
960848.8963,1945057.608,1595,960848.8963,1945057.608,1595,960848.8963,1945057.608,1.041393,0.778151,1.340965,2.791117,1.794275,1.577492,4.481737,0.006415,25,0.301934,4.971466,2.217168,5.146128,0,2.92896
960917.3158,1959352.565,1596,960917.3158,1959352.565,1596,960917.3158,1959352.565,0.954243,0.30103,3.273499,2.171784,2.489822,1.621176,4.18277,0.094176,19,0.231972,3.92624,1.929266,4.459392,0,2.530126
960874.1419,1947237.269,1597,960874.1419,1947237.269,1597,960874.1419,1947237.269,0.477121,0.778151,1.542844,2.537744,1.966237,1.592177,4.128882,0.005008,28,0.414545,5.267871,1.954338,5.069274,0,3.114936
960894.2713,1948920.469,1598,960894.2713,1948920.469,1598,960894.2713,1948920.469,1.146128,0,2.924244,2.773784,1.106888,1.618048,4.240549,0.019433,25,0.289353,4.352858,1.811423,4.550204,0,2.738781
960938.5089,1951961.142,1599,960938.5089,1951961.142,1599,960938.5089,1951961.142,0.90309,1.278754,2.876639,2.512443,1.976031,1.61595,4.574422,0.025111,9,0.258867,4.184918,1.878472,4.553909,0,2.675437
961000.0131,1958967.403,1600,961000.0131,1958967.403,1600,961000.0131,1958967.403,1,0,3.355913,2.563299,0.982749,1.612784,4.292867,0.01691,12,0.246223,4.097292,1.777137,4.404834,0,2.627697
960966.5812,1949161.624,1601,960966.5812,1949161.624,1601,960966.5812,1949161.624,0.954243,0,2.900966,2.563613,2.307198,1.618048,4.240549,0.019433,25,0.289353,4.352858,1.927062,4.565247,0,2.638185
961037.0784,1963394.467,1602,961037.0784,1963394.467,1602,961037.0784,1963394.467,1.414973,1.361728,2.96353,2.510029,2.138956,1.584331,4.47454,0.006582,5,0.235883,3.830717,1.68972,4.253841,0,2.564121
960952.4405,1944217.263,1603,960952.4405,1944217.263,1603,960952.4405,1944217.263,1.176091,1.20412,2.21666,2.576726,2.231398,1.559907,4.399126,0.000858,6,0.371895,4.896251,1.920305,4.915713,0.25,2.995408
960973.8501,1946812.128,1604,960973.8501,1946812.128,1604,960973.8501,1946812.128,1.39794,0.60206,1.724912,1.8053,1.870665,1.596597,3.910855,0.004367,18,0.555443,5.332054,1.929368,4.858773,0,2.929405
961055.9242,1964186,1605,961055.9242,1964186,1605,961055.9242,1964186,1.079181,0.477121,3.147192,2.412866,2.357688,1.607455,3.887513,0.018328,16,0.269043,4.354857,1.827628,4.447158,0,2.61953
960987.4224,1948742.85,1606,960987.4224,1948742.85,1606,960987.4224,1948742.85,0.954243,0.60206,2.888861,2.892306,1.811934,1.618048,4.240549,0.019433,25,0.289353,4.352858,2.04847,4.728676,0,2.680206
960986.8406,1943677.68,1607,960986.8406,1943677.68,1607,960986.8406,1943677.68,1.50515,1.176091,2.276964,2.326686,1.938499,1.559907,4.399126,0.000858,6,0.371895,4.896251,2.017166,5.106998,0,3.089832
961076.4354,1958279.553,1608,961076.4354,1958279.553,1608,961076.4354,1958279.553,1,0.69897,3.403142,2.36669,1.617127,1.612784,4.292867,0.01691,12,0.246223,4.097292,1.928601,4.469822,0,2.541221
961128.7987,1963810.036,1609,961128.7987,1963810.036,1609,961128.7987,1963810.036,1.30103,1.041393,3.077702,2.729171,2.249758,1.607455,3.887513,0.018328,16,0.269043,4.354857,1.928601,4.421291,0,2.49269
961133.2246,1963051.181,1610,961133.2246,1963051.181,1610,961133.2246,1963051.181,1.431364,1.255273,2.986237,2.173714,2.171816,1.584331,4.47454,0.006582,5,0.235883,3.830717,1.763503,4.385606,0,2.622103
961059.3533,1946646.533,1611,961059.3533,1946646.533,1611,961059.3533,1946646.533,1.041393,0.60206,1.589846,2.33468,2.01943,1.596597,3.910855,0.004367,18,0.555443,5.332054,2.219337,5.406323,0,3.186986
961110.3982,1952888.137,1612,961110.3982,1952888.137,1612,961110.3982,1952888.137,1.176091,1.255273,2.960351,3.017454,2.055286,1.61595,4.574422,0.025111,9,0.258867,4.184918,1.90411,4.503648,0.142857,2.599538
961140.3482,1959232.044,1613,961140.3482,1959232.044,1613,961140.3482,1959232.044,1.30103,1.176091,3.313781,2.048604,2.006145,1.60206,4.475684,0.043077,9,0.251887,4.141669,1.540081,4.122298,0,2.582217
961086.5038,1946832.791,1614,961086.5038,1946832.791,1614,961086.5038,1946832.791,1.531479,0.845098,1.828602,2.251312,2.001544,1.596597,3.910855,0.004367,18,0.555443,5.332054,2.033665,4.969714,0,2.936049
961108.7901,1949789.814,1615,961108.7901,1949789.814,1615,961108.7901,1949789.814,1.041393,0.60206,3.005507,2.543452,1.868091,1.619093,4.081774,0.010134,24,0.506997,4.69414,1.907841,4.540241,0,2.6324
961190.9133,1964071.416,1616,961190.9133,1964071.416,1616,961190.9133,1964071.416,1.30103,0.778151,3.149719,2.625302,2.59752,1.607455,3.887513,0.018328,16,0.269043,4.354857,1.928754,4.454845,0,2.526091
961143.7883,1952303.63,1617,961143.7883,1952303.63,1617,961143.7883,1952303.63,1.176091,1.255273,3.0021,2.80918,2.317998,1.61595,4.574422,0.025111,9,0.258867,4.184918,1.872103,4.468571,0.333333,2.596468
961186.1577,1961295.812,1618,961186.1577,1961295.812,1618,961186.1577,1961295.812,1.447158,1.477121,1.803987,2.598957,2.160474,1.583199,4.51542,0.012978,12,0.233847,4.371696,1.743813,4.331684,0.1,2.587871
961194.3229,1962711.43,1619,961194.3229,1962711.43,1619,961194.3229,1962711.43,1.431364,1.491362,2.978204,2.258,2.189861,1.586587,4.399219,0.008774,3,0.240042,3.87691,1.737205,4.32604,0,2.588835
961210.1321,1958127.902,1620,961210.1321,1958127.902,1620,961210.1321,1958127.902,1.255273,0.778151,3.413054,2.268418,1.975881,1.612784,4.292867,0.01691,12,0.246223,4.097292,1.928652,4.439333,1,2.510681
961186.332,1952547.118,1621,961186.332,1952547.118,1621,961186.332,1952547.118,1.414973,1.278754,3.032866,2.922597,2.18209,1.61595,4.574422,0.025111,9,0.258867,4.184918,1.88315,4.396725,0,2.513575
961189.6384,1953120.586,1622,961189.6384,1953120.586,1622,961189.6384,1953120.586,1.176091,1.380211,2.93357,3.068542,2.027537,1.608526,4.395651,0.020807,4,0.241034,4.058008,1.830367,4.461327,0,2.63096
961238.2585,1961535.901,1623,961238.2585,1961535.901,1623,961238.2585,1961535.901,1.447158,0,1.616596,2.184282,1.62743,1.583199,4.51542,0.012978,12,0.233847,4.371696,1.804472,4.440049,0,2.635577
961235.2922,1958377.815,1624,961235.2922,1958377.815,1624,961235.2922,1958377.815,0.954243,0,3.433973,1.706167,1.21833,1.612784,4.292867,0.01691,12,0.246223,4.097292,1.928959,4.473349,0,2.54439
961254.4669,1961025.794,1625,961254.4669,1961025.794,1625,961254.4669,1961025.794,1.431364,1.041393,2.533226,2.562596,2.006853,1.583199,4.51542,0.012978,12,0.233847,4.371696,1.646179,4.23435,0,2.588171
961185.6672,1943971.122,1626,961185.6672,1943971.122,1626,961185.6672,1943971.122,1.39794,0,2.486132,1.844483,1.836918,1.559907,4.399126,0.000858,6,0.371895,4.896251,1.884229,4.832509,0,2.94828
961194.8203,1944708.66,1627,961194.8203,1944708.66,1627,961194.8203,1944708.66,1.20412,0.954243,2.305666,2.85106,1.958199,1.583199,4.333629,0.002157,23,0.343244,5.163337,1.776846,4.694605,1,2.917759
961271.7577,1960843.6,1628,961271.7577,1960843.6,1628,961271.7577,1960843.6,1.431364,0.845098,2.717933,2.407651,1.896173,1.583199,4.51542,0.012978,12,0.233847,4.371696,1.942355,4.525045,0,2.58269
